prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.
A:","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","The tuna are the fish that are caught in the sea, and the fish that are caught in the sea, and the fish that are caught in the sea, and the fish caught in the sea, and the fish caught in the sea, and the fish caught in the sea, and the fish caught in the sea, and the fish caught in the sea, and the fish caught in the sea, and the fish caught in the sea, and the fish caught in the sea, and the fish caught",0.853756945814754,11.001272005762589,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",0.853756945814754,11.001272005762589,25.0,25.0
"Q: Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.
A:","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",The doctor is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a doctor who is a,0.35896057761679323,7.858954292396356,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",0.35896057761679323,7.858954292396356,25.0,23.75
"Q: Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.
A:","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","The disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused by the disease, the disease is caused",0.4724186878758777,8.71318677592753,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.4724186878758777,8.71318677592753,23.625,21.0
"Q: Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.
A:","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of the Nobel Prize of,1.8896747515035108,11.82383057863804,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",1.8896747515035108,11.82383057863804,24.25,22.25
"Q: Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""
A:","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","The people who have been living in the past, the people who have been living in the past, the people who have been living in the past, the people who have been living in the past, the people who have been living in the past, the people who have been living in the past, the people who have been living in the past, the people who have been living in the past, the people who have been living in the past, the people who have been living in the past,",0.4724186878758777,10.227013931962652,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.4724186878758777,10.227013931962652,25.0,25.0
"Q: Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.
A:","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The first time, Jamie Siminoff, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time, the first time,",4.704512733171129,13.38025288965578,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",4.704512733171129,13.38025288965578,20.375,17.0
"Q: Aliunda kengele ya mlango ya Wi-Fi, alisema.
A:","Aliunda kengele ya mlango ya Wi-Fi, alisema.","He built a WiFi door bell, he said.","The Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi signal, the Wi-Fi",0.35896057761679323,4.429012807423595,ltz_Latn, Laut him huet hien eng WiFi-Schell gebaut.,0.35896057761679323,5.273946097913512,11.9375,13.9375
"Q: Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.
A:",Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"The Shark Tank, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor, the actor,",1.5029579848492385,9.651986160913921,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.5029579848492385,9.651986160913921,24.5,19.375
"Q: Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.
A:","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","The TV show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show, the show,",0.0,3.095358674477959,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",0.0,3.095358674477959,17.25,11.4375
"Q: Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.
A:","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","The Ring Ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring, the company has a ring,",0.9027380604673038,13.296813629567565,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",0.9027380604673038,13.296813629567565,18.0,17.75
